,team_name,team_abrv
0,San Antonio Spurs,SAS
1,Golden State Warriors,GSW
2,Los Angeles Lakers,LAL
3,New Orleans Pelicans,NOP
4,Toronto Raptors,TOR
5,Indiana Pacers,IND
6,Orlando Magic,ORL
7,New Jersey Nets,NJN
8,Cleveland Cavaliers,CLE
9,Memphis Grizzlies,MEM
10,Denver Nuggets,DEN
11,Utah Jazz,UTA
12,Seattle Supersonics,SEA
13,Miami Heat,MIA
14,Los Angeles Clippers,LAC
15,Phoenix Suns,PHO
16,Chicago Bulls,CHI
17,Minnesota Timberwolves,MIN
18,Boston Celtics,BOS
19,Atlanta Hawks,ATL
20,Charlotte Hornets,CHO
21,Dallas Mavericks,DAL
22,Houston Rockets,HOU
23,Milwaukee Bucks,MIL
24,Washington Wizards,WAS
25,Philadelphia 76ers,PHI
26,Detroit Pistons,DET
27,New York Knicks,NYK
28,Sacramento Kings,SAC
29,Portland Trail Blazers,POR
30,Oklahoma City,OKC
31,Brooklyn Nets,BRK