fivethirtyeight,odds
Aston Villa,Aston Villa
Burnley,Burnley
Leicester City,Leicester City
Liverpool,Liverpool
Newcastle,Newcastle United
Norwich City,Norwich City
Wolverhampton,Wolverhampton Wanderers
Manchester City,Manchester City
Watford,Watford
Tottenham Hotspur,Tottenham Hotspur
Leeds United,Leeds United
Southampton,Southampton
Brentford,Brentford
Brighton and Hove Albion,Brighton and Hove Albion
Manchester United,Manchester United
Arsenal,Arsenal
Chelsea,Chelsea
Everton,Everton
West Ham United,West Ham United
Crystal Palace,Crystal Palace
Draw,Draw